                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                  1.272,                 0.7197,                 1.0214,                0.81474,                0.59055,                0.66343,                0.37644,                  1.266,                0.66649,                 1.0102,               0.004258,               0.004258,               0.004258
                     60,                 1.2718,                0.71956,                 1.0234,                0.81691,                0.59056,                0.66385,                0.37721,                 1.2655,                0.66583,                 1.0098,               0.004159,               0.004159,               0.004159
                     61,                 1.2735,                0.72197,                 1.0222,                0.81756,                0.59003,                0.66379,                0.37736,                 1.2648,                0.66456,                 1.0094,                0.00406,                0.00406,                0.00406
                     62,                 1.2645,                0.71574,                 1.0202,                0.81954,                0.58953,                0.66545,                 0.3782,                 1.2638,                0.66362,                  1.009,               0.003961,               0.003961,               0.003961
                     63,                 1.2621,                0.71166,                 1.0196,                0.81829,                0.59139,                0.66675,                0.37951,                 1.2635,                0.66279,                 1.0088,               0.003862,               0.003862,               0.003862
                     64,                 1.2612,                0.70774,                 1.0167,                0.81831,                0.59198,                0.66698,                0.37983,                 1.2626,                0.66261,                 1.0084,               0.003763,               0.003763,               0.003763
                     65,                 1.2598,                0.70905,                 1.0164,                0.81841,                0.59305,                0.66601,                0.37953,                 1.2618,                0.66204,                 1.0082,               0.003664,               0.003664,               0.003664
                     66,                 1.2535,                0.70345,                 1.0144,                0.82267,                0.59143,                0.66616,                0.37969,                 1.2608,                0.66062,                 1.0077,               0.003565,               0.003565,               0.003565
                     67,                 1.2539,                0.70389,                 1.0157,                0.82582,                0.59047,                0.66687,                0.38049,                 1.2599,                0.65966,                 1.0073,               0.003466,               0.003466,               0.003466
                     68,                 1.2507,                0.70413,                 1.0151,                0.82884,                0.58933,                0.66856,                0.38212,                 1.2589,                0.65835,                 1.0068,               0.003367,               0.003367,               0.003367
                     69,                 1.2487,                0.70048,                 1.0132,                0.82795,                 0.5919,                0.66899,                0.38256,                 1.2583,                0.65825,                 1.0066,               0.003268,               0.003268,               0.003268
                     70,                 1.2375,                0.69331,                 1.0099,                0.82987,                0.59052,                0.66945,                0.38293,                 1.2571,                0.65671,                 1.0062,               0.003169,               0.003169,               0.003169
                     71,                 1.2441,                0.69793,                 1.0139,                0.83353,                0.59051,                0.67001,                0.38358,                  1.256,                0.65584,                 1.0058,                0.00307,                0.00307,                0.00307
                     72,                 1.2439,                0.69306,                 1.0126,                0.83025,                0.59363,                0.67039,                0.38441,                  1.255,                0.65469,                 1.0054,               0.002971,               0.002971,               0.002971
                     73,                 1.2319,                0.68591,                 1.0069,                0.82995,                0.59529,                0.67222,                0.38517,                  1.254,                0.65379,                  1.005,               0.002872,               0.002872,               0.002872
                     74,                 1.2352,                0.68827,                 1.0092,                0.82826,                0.59703,                0.67289,                0.38549,                 1.2528,                0.65285,                 1.0046,               0.002773,               0.002773,               0.002773
                     75,                 1.2327,                0.68565,                 1.0069,                0.82779,                0.59585,                0.67348,                0.38644,                 1.2518,                0.65125,                 1.0041,               0.002674,               0.002674,               0.002674
                     76,                 1.2331,                0.68562,                 1.0076,                0.82987,                 0.5968,                0.67433,                0.38722,                  1.251,                0.64921,                 1.0037,               0.002575,               0.002575,               0.002575
                     77,                 1.2273,                0.68291,                 1.0058,                0.83157,                0.59623,                 0.6754,                0.38792,                   1.25,                0.64802,                 1.0033,               0.002476,               0.002476,               0.002476
                     78,                 1.2223,                0.67979,                 1.0036,                0.83084,                 0.5966,                0.67626,                0.38903,                 1.2489,                0.64673,                  1.003,               0.002377,               0.002377,               0.002377
                     79,                 1.2182,                0.67585,                 1.0036,                0.82915,                0.59759,                0.67694,                0.38938,                 1.2482,                0.64564,                 1.0027,               0.002278,               0.002278,               0.002278
                     80,                 1.2166,                0.67285,                 1.0009,                0.82894,                0.59931,                0.67759,                0.39016,                 1.2471,                0.64459,                 1.0022,               0.002179,               0.002179,               0.002179
                     81,                 1.2165,                0.67381,                 1.0026,                0.82914,                0.60007,                0.67884,                0.39108,                 1.2464,                0.64413,                 1.0017,                0.00208,                0.00208,                0.00208
                     82,                 1.2128,                0.66995,                 1.0008,                0.82803,                0.60234,                0.67909,                0.39127,                 1.2453,                0.64291,                 1.0013,               0.001981,               0.001981,               0.001981
                     83,                 1.2099,                0.66899,                 1.0007,                0.82713,                0.60557,                0.67951,                0.39154,                 1.2442,                0.64252,                  1.001,               0.001882,               0.001882,               0.001882
                     84,                  1.203,                0.66373,                0.99808,                 0.8287,                0.60495,                0.68103,                0.39279,                 1.2433,                0.64175,                 1.0005,               0.001783,               0.001783,               0.001783
                     85,                 1.2049,                0.66383,                0.99836,                0.82889,                0.60523,                 0.6813,                0.39323,                  1.242,                0.64069,                0.99997,               0.001684,               0.001684,               0.001684
                     86,                 1.2017,                0.66127,                0.99666,                0.82956,                0.60573,                0.68208,                0.39418,                 1.2409,                0.63961,                0.99954,               0.001585,               0.001585,               0.001585
                     87,                 1.1952,                0.65592,                0.99586,                0.83098,                0.60557,                0.68373,                0.39526,                 1.2399,                0.63908,                0.99917,               0.001486,               0.001486,               0.001486
                     88,                 1.1932,                0.65525,                0.99444,                0.83168,                0.60689,                0.68486,                 0.3964,                 1.2388,                0.63798,                0.99874,               0.001387,               0.001387,               0.001387
                     89,                 1.1921,                0.65151,                0.99324,                0.83426,                0.60623,                0.68487,                0.39682,                 1.2377,                0.63697,                0.99828,               0.001288,               0.001288,               0.001288
                     90,                 1.1964,                0.62359,                0.99831,                0.83933,                0.60359,                0.68661,                 0.3979,                 1.2365,                0.63583,                0.99778,               0.001189,               0.001189,               0.001189
                     91,                 1.1874,                0.61769,                0.99634,                0.84221,                0.60301,                0.68738,                0.39823,                 1.2353,                0.63478,                0.99729,                0.00109,                0.00109,                0.00109
                     92,                 1.1802,                0.61075,                0.99302,                 0.8462,                0.60285,                0.68958,                 0.3994,                 1.2339,                0.63314,                0.99663,               0.000991,               0.000991,               0.000991
                     93,                 1.1755,                0.60812,                0.99076,                0.84698,                0.60409,                0.69011,                0.39946,                 1.2324,                0.63169,                0.99618,               0.000892,               0.000892,               0.000892
                     94,                 1.1699,                0.60343,                 0.9888,                0.84826,                0.60351,                0.69069,                0.39991,                 1.2314,                0.63039,                0.99577,               0.000793,               0.000793,               0.000793
                     95,                  1.166,                0.60206,                0.98792,                0.85146,                0.60346,                0.69151,                0.40045,                 1.2302,                0.62922,                0.99524,               0.000694,               0.000694,               0.000694
                     96,                 1.1623,                0.59846,                0.98456,                0.85127,                0.60413,                0.69189,                0.40093,                 1.2289,                0.62772,                0.99476,               0.000595,               0.000595,               0.000595
                     97,                 1.1581,                0.59686,                0.98411,                0.85165,                0.60497,                0.69259,                0.40169,                 1.2276,                0.62627,                0.99437,               0.000496,               0.000496,               0.000496
                     98,                 1.1547,                0.59377,                0.98319,                0.85123,                0.60532,                0.69277,                0.40238,                 1.2266,                0.62506,                0.99389,               0.000397,               0.000397,               0.000397
                     99,                 1.1515,                0.59093,                0.98224,                0.85593,                0.60401,                0.69331,                0.40301,                 1.2253,                 0.6235,                 0.9934,               0.000298,               0.000298,               0.000298
